Animal ID,Animal Type,Total Days,Excluded Days,LOS,Age (years),Incoming Source,Incoming Date,Incoming Region,Status Date,Outgoing Eval Cat
528556,Rabbit,32.04,17.15,14.89,3,Stray,05/16/2021 11:36,West Vancouver Branch,06/17/2021 12:32,TR
456689,Rabbit,14.87,0,14.87,8,Owner Surrender,03/13/2018 15:49,Abbotsford Branch,03/28/2018 12:35,H
464381,Rabbit,23,8.15,14.85,0,Owner Surrender,06/23/2018 15:43,Maple Ridge Branch,07/16/2018 15:50,TR
510189,Rabbit,29.91,15.06,14.85,3,Owner Surrender,01/15/2021 14:49,Vancouver Branch,02/14/2021 12:43,H
481505,Rabbit,42.98,28.16,14.83,3,Owner Surrender,02/17/2019 13:51,Victoria Branch,04/01/2019 13:25,TR
429170,Rabbit,14.8,0,14.8,2,Owner Surrender,03/31/2017 14:33,Maple Ridge Branch,04/15/2017 09:52,TR
533971,Rabbit,14.77,0,14.77,3,Stray,08/16/2021 15:46,Sunshine Coast Branch ,08/31/2021 10:20,TR
525800,Rabbit,46.08,31.77,14.3,1,Stray,03/19/2021 12:47,Kelowna Branch,05/04/2021 14:38,H
440865,Rabbit,14.24,0,14.24,1,Owner Surrender,08/19/2017 10:53,Victoria Branch,09/02/2017 16:33,H
533210,Rabbit,28.16,13.98,14.18,0,Stray,08/05/2021 13:04,Burnaby Branch,09/02/2021 16:48,TR
423428,Rabbit,14.15,0,14.15,0,Owner Surrender,03/18/2017 13:08,Campbell River Branch,04/01/2017 16:38,H
502214,Rabbit,14.13,0,14.13,2,Stray,11/22/2019 12:37,Burnaby Branch,12/06/2019 15:40,H
527402,Rabbit,139.99,125.86,14.13,0,ACO Impound,04/23/2021 10:22,Burnaby Branch,09/10/2021 10:05,H
460290,Rabbit,116.07,101.95,14.12,1,Owner Surrender,01/08/2019 13:25,South Peace Branch,05/04/2019 15:07,TR
487315,Rabbit,23.13,9,14.12,0,Owner Surrender,05/12/2019 12:21,West Vancouver Branch,06/04/2019 15:22,H
487316,Rabbit,23.13,9,14.12,2,Owner Surrender,05/12/2019 12:21,West Vancouver Branch,06/04/2019 15:22,H
515982,Rabbit,19.14,5.03,14.11,3,Owner Surrender,08/29/2020 13:51,Burnaby Branch,09/17/2020 17:08,H
447156,Rabbit,14.07,0,14.07,1,Stray,10/27/2017 14:22,Chilliwack Branch,11/10/2017 16:03,H
512224,Rabbit,14.07,0,14.07,0,Agency / Shelter,06/18/2020 11:26,South Peace Branch,07/02/2020 13:12,H
512225,Rabbit,14.07,0,14.07,0,Agency / Shelter,06/18/2020 11:26,South Peace Branch,07/02/2020 13:12,H
504289,Rabbit,14.05,0,14.05,1,Owner Surrender,12/29/2019 13:15,Abbotsford Branch,01/12/2020 14:31,TR
481335,Rabbit,14.04,0,14.04,2,Returns,08/27/2019 13:09,Vernon & District Branch,09/10/2019 14:03,H
452440,Rabbit,14.01,0,14.01,0,Owner Surrender,01/13/2018 14:47,Abbotsford Branch,01/27/2018 15:04,H
475685,Rabbit,112.82,98.81,14.01,0,Shelter Offspring,11/16/2018 15:31,Vancouver Branch,03/09/2019 11:11,TR
526003,Rabbit,13.99,0,13.99,1,Owner Surrender,03/23/2021 15:45,Abbotsford Branch,04/06/2021 15:37,TR
526004,Rabbit,13.99,0,13.99,1,Owner Surrender,03/23/2021 15:45,Abbotsford Branch,04/06/2021 15:37,TR
451126,Rabbit,13.99,0,13.99,0,Owner Surrender,12/23/2017 13:46,Maple Ridge Branch,01/06/2018 13:28,H
426718,Rabbit,13.97,0,13.97,2,Stray,03/01/2017 10:52,Maple Ridge Branch,03/15/2017 10:04,H
421620,Rabbit,62.71,48.77,13.95,5,Humane Officer Seized,12/14/2016 16:38,Maple Ridge Branch,02/15/2017 09:46,TM
511195,Rabbit,13.94,0,13.94,8,Stray,05/29/2020 14:59,Burnaby Branch,06/12/2020 13:31,UU
475744,Rabbit,13.92,0,13.92,3,Returns,01/05/2019 14:25,Sunshine Coast Branch ,01/19/2019 12:34,TR
390139,Rabbit,89.05,75.14,13.92,2,Returns,04/02/2017 12:26,Victoria Branch,06/30/2017 13:41,H
524093,Rabbit,13.91,0,13.91,0,Owner Surrender,02/12/2021 14:13,West Kootenay & District Branch,02/26/2021 12:07,H
524096,Rabbit,13.91,0,13.91,0,Owner Surrender,02/12/2021 14:13,West Kootenay & District Branch,02/26/2021 12:07,H
421804,Rabbit,34.97,21.08,13.9,0,Owner Surrender,12/16/2016 17:08,Quesnel & District Branch,01/20/2017 16:31,H
421805,Rabbit,34.97,21.08,13.9,0,Owner Surrender,12/16/2016 17:08,Quesnel & District Branch,01/20/2017 16:31,H
429297,Rabbit,13.88,0,13.88,5,Returns,11/13/2021 13:43,Nanaimo & District Branch,11/27/2021 10:53,H
446094,Rabbit,13.86,0,13.86,2,Stray,10/15/2017 16:09,Maple Ridge Branch,10/29/2017 12:44,TR
